Date;Orang;Barang
2019-10-30;109954;46102
2019-10-31;112584;44022
2019-11-01;116978;42261
2019-11-02;119383;30765
2019-11-03;116782;21412
2019-11-04;111004;42717
2019-11-05;109707;45531
2019-11-06;112833;44639
2019-11-07;114918;46127
2019-11-08;130180;41394
2019-11-09;119011;21649
2019-11-10;126027;20239
2019-11-11;114940;43871
2019-11-12;110700;44920
2019-11-13;110871;44504
2019-11-14;112854;44392
2019-11-15;116858;43711
2019-11-16;115384;32654
2019-11-17;113626;22483
2019-11-18;111463;43099
2019-11-19;110195;46304
2019-11-20;111555;45699
2019-11-21;112233;46037
2019-11-22;114865;43425
2019-11-23;117402;31806
2019-11-24;111954;22914
2019-11-25;111055;43052
2019-11-26;110311;45156
2019-11-27;112578;44898
2019-11-28;112391;44575
2019-11-29;120007;43016
2019-11-30;120615;31512
2019-12-01;114635;21470
2019-12-02;111302;42039
2019-12-03;111270;44457
2019-12-04;115793;44018
2019-12-05;114800;44283
2019-12-06;119344;42349
2019-12-07;127653;31457
2019-12-08;123443;21382
2019-12-09;113211;41620
2019-12-10;111985;44713
2019-12-11;115982;45555
2019-12-12;114031;43944
2019-12-13;120509;43393
2019-12-14;125104;32834
2019-12-15;126041;21904
2019-12-16;116429;42159
2019-12-17;114474;43944
2019-12-18;119226;46504
2019-12-19;122836;45884
2019-12-20;133299;34879
2019-12-21;133417;25735
2019-12-22;128754;23436
2019-12-23;129452;42451
2019-12-24;120867;30429
2019-12-25;114326;17055
2019-12-26;119614;38563
2019-12-27;122929;38695
2019-12-28;126865;29413
2019-12-29;124127;18038
2019-12-30;120224;24515
2019-12-31;113455;10682
2020-01-01;103214;6381
2020-01-02;105575;26257
2020-01-03;114077;33798
2020-01-04;122771;27215
2020-01-05;121501;17723
2020-01-06;116739;37855
2020-01-07;111598;39498
2020-01-08;112823;39473
2020-01-09;113861;39914
2020-01-10;116986;38546
2020-01-11;116468;29725
2020-01-12;110119;19188
2020-01-13;112588;39625
2020-01-14;109519;41102
2020-01-15;112390;41878
2020-01-16;110659;41071
2020-01-17;114516;40201
2020-01-18;111827;29935
2020-01-19;108228;19460
2020-01-20;110431;39552
2020-01-21;108427;41526
2020-01-22;110655;42135
2020-01-23;113346;41025
2020-01-24;120835;34412
2020-01-25;106861;15092
2020-01-26;113617;17021
2020-01-27;112257;38757
2020-01-28;109109;41339
2020-01-29;110487;40637
2020-01-30;111668;40939
2020-01-31;116981;39013
2020-02-01;121353;27899
2020-02-02;124218;17469
2020-02-03;116142;36766
2020-02-04;112357;39162
2020-02-05;113550;40115
2020-02-06;115065;40013
2020-02-07;118773;38376
2020-02-08;119165;27660
2020-02-09;116986;18716
2020-02-10;114509;38918
2020-02-11;110928;41459
2020-02-12;112726;40857
2020-02-13;113821;40148
2020-02-14;117951;39201
2020-02-15;116479;29357
2020-02-16;111969;18388
2020-02-17;111000;37431
2020-02-18;110245;40215
2020-02-19;111698;38410
2020-02-20;112452;38157
2020-02-21;116087;37516
2020-02-22;115943;28004
